Driver_ID,MMM-YY,Age,Gender,City,Education_Level,Income,Dateofjoining,LastWorkingDate,Joining Designation,Grade,Total Business Value,Quarterly Rating,target_label
96,11/01/20,35.0,0.0,C12,2,64953,17/07/20,27/11/20,3,3,0,1,1
97,12/01/20,40.0,1.0,C2,2,80771,10/03/20,,3,3,350000,1,0
98,12/01/20,25.0,0.0,C16,0,63774,15/08/19,25/12/20,2,3,21415440,2,1
99,08/01/20,30.0,0.0,C23,0,38068,24/03/20,29/07/20,2,2,0,1,1
101,05/01/19,33.0,0.0,C10,0,38945,12/03/17,05/03/19,1,1,1759840,1,1
102,03/01/19,22.0,1.0,C12,0,42270,01/05/19,21/03/19,1,1,0,1,1
103,07/01/20,26.0,1.0,C28,1,68913,30/11/19,07/04/20,2,2,544380,1,1
104,12/01/20,30.0,1.0,C23,1,60332,16/08/20,,2,2,1252320,2,0
105,01/01/19,38.0,0.0,C4,0,67931,18/09/18,01/06/19,1,1,0,1,1
106,08/01/19,34.0,1.0,C22,0,57671,27/05/16,08/02/19,1,3,4504880,2,1
107,11/01/20,35.0,0.0,C9,2,102142,12/12/19,27/11/20,3,3,4545450,1,1
108,06/01/20,38.0,0.0,C22,2,121259,01/09/20,06/02/20,3,3,864350,1,1
109,12/01/20,36.0,1.0,C6,0,33927,14/04/20,,1,1,1927920,2,0
110,02/01/20,32.0,1.0,C16,1,32663,19/09/19,17/02/20,1,1,251810,1,1
111,09/01/19,52.0,0.0,C13,1,73769,13/12/16,17/09/19,2,3,2167840,1,1
112,12/01/20,46.0,0.0,C29,1,50466,30/06/18,,1,1,13121470,3,0
113,10/01/19,42.0,1.0,C10,0,47160,23/06/19,17/10/19,1,1,670440,1,1
114,12/01/20,32.0,1.0,C19,0,89456,28/09/20,,3,3,0,1,0
115,12/01/20,46.0,0.0,C1,1,31752,23/07/15,,1,3,12674940,2,0
116,09/01/19,22.0,0.0,C11,0,16477,12/04/18,23/09/19,1,1,1116990,1,1
117,12/01/20,47.0,1.0,C1,1,144978,28/01/16,,1,5,40152720,2,0
118,09/01/20,42.0,1.0,C27,0,67904,03/10/20,15/09/20,3,3,150700,1,1
119,03/01/20,32.0,1.0,C29,1,71000,16/11/19,24/03/20,3,3,557720,1,1
120,04/01/20,27.0,0.0,C14,2,114258,28/09/19,29/03/20,3,3,0,1,1
121,05/01/20,33.0,1.0,C13,2,58885,03/07/20,24/05/20,3,3,0,1,1
122,12/01/20,27.0,0.0,C26,0,57406,08/07/20,,2,2,605760,2,0
123,09/01/19,44.0,0.0,C24,1,41401,10/07/18,23/09/19,1,1,2184160,1,1
125,07/01/19,33.0,1.0,C10,2,30847,29/07/18,21/07/19,1,1,1221780,1,1
127,03/01/19,33.0,0.0,C28,1,84085,05/04/18,03/01/19,3,3,-70000,1,1
129,12/01/20,38.0,1.0,C6,1,60708,07/11/20,,2,2,436190,1,0
130,08/01/20,38.0,0.0,C28,1,39990,17/01/20,29/07/20,2,2,2928710,1,1
131,11/01/19,38.0,1.0,C19,1,79086,21/10/13,11/11/19,2,3,2620360,1,1
132,07/01/20,27.0,0.0,C20,2,43165,05/01/20,20/07/20,2,2,0,1,1
133,05/01/19,44.0,1.0,C23,2,46858,30/07/18,23/05/19,1,1,873110,1,1
134,12/01/20,32.0,0.0,C27,0,76904,10/12/20,,3,3,190550,1,0
135,12/01/20,28.0,0.0,C22,0,98877,15/09/20,,3,3,1517680,2,0
136,01/01/19,37.0,1.0,C10,0,47009,10/02/18,01/05/19,1,1,0,1,1
137,12/01/20,42.0,0.0,C28,0,33459,06/05/20,,2,2,6570070,4,0
138,01/01/19,48.0,0.0,C21,2,34827,26/01/18,01/06/19,1,1,0,1,1
139,12/01/19,32.0,0.0,C14,1,51850,31/10/19,12/05/19,2,2,0,1,1
140,12/01/20,38.0,0.0,C9,1,72253,29/04/16,,1,2,13939940,3,0
141,11/01/20,35.0,0.0,C22,1,65901,07/10/20,31/10/20,2,2,0,1,1
142,02/01/19,24.0,0.0,C16,1,29807,06/10/18,02/08/19,1,1,122040,1,1
143,03/01/19,40.0,0.0,C12,2,24150,05/01/18,27/02/19,1,1,340560,1,1
144,11/01/19,27.0,0.0,C28,2,21933,19/08/19,24/11/19,1,1,0,1,1
145,06/01/20,35.0,0.0,C13,1,75112,13/02/20,22/06/20,3,3,1847280,3,1
147,10/01/19,36.0,0.0,C9,1,85172,20/07/19,10/01/19,2,2,0,1,1
148,12/01/20,41.0,0.0,C15,0,45288,12/11/20,,2,2,0,1,0
149,07/01/20,34.0,1.0,C20,0,61913,17/04/20,22/07/20,3,3,0,1,1
150,12/01/20,39.0,0.0,C17,0,29013,22/04/16,,1,3,24273480,3,0
151,01/01/20,30.0,0.0,C15,0,89602,15/09/19,21/01/20,4,4,950170,1,1
152,06/01/19,31.0,0.0,C17,0,31547,06/03/18,15/06/19,1,2,1419720,2,1
153,11/01/19,38.0,1.0,C22,1,148588,14/10/18,19/11/19,5,5,1472800,1,1
154,10/01/20,30.0,0.0,C21,1,47211,07/03/20,18/10/20,1,1,0,1,1
155,02/01/19,27.0,0.0,C26,1,118363,09/10/17,26/02/19,2,3,1602380,2,1
156,03/01/19,41.0,1.0,C9,1,41046,07/01/18,28/02/19,1,1,0,1,1
158,09/01/20,26.0,0.0,C22,1,45832,07/03/20,23/09/20,1,1,0,1,1
159,02/01/20,44.0,1.0,C4,1,30121,21/07/17,17/02/20,1,1,6278140,1,1
161,04/01/19,38.0,0.0,C25,2,35793,19/06/18,29/03/19,1,1,0,1,1
162,01/01/20,36.0,0.0,C2,1,100064,31/10/19,30/12/19,3,3,0,1,1
163,09/01/20,29.0,0.0,C6,0,25731,05/08/20,27/09/20,1,1,0,1,1
164,11/01/20,37.0,1.0,C26,0,106171,17/06/19,27/11/20,1,4,10395250,1,1
165,01/01/19,25.0,1.0,C21,2,76307,16/10/18,15/01/19,2,2,0,1,1
167,05/01/19,26.0,0.0,C18,1,35283,03/02/18,05/06/19,1,1,1154620,1,1
168,12/01/20,26.0,0.0,C15,2,33057,10/07/19,,2,2,12087570,3,0
169,12/01/19,34.0,0.0,C14,2,38409,05/01/18,29/11/19,2,2,5239360,1,1
170,11/01/19,35.0,0.0,C7,2,91458,07/04/19,23/11/19,3,3,1987680,1,1
171,07/01/19,44.0,1.0,C23,1,56242,24/08/18,21/07/19,2,2,3466180,1,1
172,07/01/19,41.0,1.0,C6,2,101395,11/07/17,29/06/19,2,3,5365850,1,1
173,12/01/20,39.0,0.0,C28,0,56174,13/06/14,,1,3,19866290,3,0
174,05/01/19,39.0,1.0,C21,1,22065,27/07/18,05/04/19,1,1,2970500,1,1
175,05/01/19,31.0,0.0,C13,0,27889,22/09/18,05/04/19,1,1,19580,1,1
176,08/01/20,34.0,0.0,C15,0,21276,05/04/20,29/07/20,1,1,0,1,1
177,06/01/19,31.0,0.0,C4,1,43053,14/12/18,06/10/19,1,1,600000,1,1
178,09/01/19,23.0,1.0,C7,0,36637,09/11/18,26/09/19,2,2,550000,1,1
179,05/01/19,26.0,1.0,C11,2,24490,26/05/18,05/04/19,1,1,1616780,1,1
180,11/01/19,34.0,0.0,C29,1,95694,26/06/18,15/11/19,2,4,0,1,1
181,12/01/20,30.0,1.0,C17,2,26926,11/06/20,,3,3,0,1,0
182,07/01/20,32.0,0.0,C22,2,25832,13/01/20,07/04/20,1,1,866320,1,1
183,05/01/20,26.0,1.0,C23,2,43263,11/03/19,25/05/20,1,1,903800,1,1
184,07/01/20,34.0,1.0,C21,2,62199,04/12/20,07/05/20,2,2,903160,1,1
185,08/01/19,29.0,0.0,C1,0,82120,30/11/16,18/08/19,1,3,2416570,1,1
187,03/01/20,34.0,0.0,C26,1,20922,11/02/19,15/03/20,2,2,151600,1,1
188,12/01/20,34.0,0.0,C12,0,36483,15/11/19,,2,2,2516690,1,0
190,11/01/19,36.0,1.0,C1,0,108051,11/07/18,11/02/19,4,4,121980,1,1
191,12/01/20,27.0,1.0,C11,2,63380,19/12/19,,3,3,10666090,3,0
192,12/01/20,37.0,1.0,C9,1,66952,04/10/20,,3,3,2412240,1,0
193,02/01/20,47.0,0.0,C26,2,59084,05/07/18,22/02/20,1,2,9983020,1,1
194,10/01/20,30.0,0.0,C8,0,54074,28/06/20,10/12/20,2,2,2000000,1,1
195,12/01/20,27.0,0.0,C18,0,19419,28/09/20,28/11/20,1,1,0,1,1
196,12/01/20,44.0,0.0,C14,1,75001,29/05/20,26/12/20,3,3,1150720,2,1
197,09/01/19,41.0,0.0,C25,1,94594,16/10/13,23/09/19,2,3,1985150,1,1
199,12/01/20,30.0,0.0,C14,0,87902,16/12/16,,1,3,31533700,4,0
200,06/01/20,46.0,0.0,C8,1,66707,28/11/19,27/06/20,3,3,0,1,1
201,09/01/19,38.0,1.0,C5,0,42260,30/05/19,09/07/19,3,3,0,1,1
202,12/01/20,33.0,0.0,C28,0,28921,30/10/20,,1,1,593300,2,0
203,11/01/20,34.0,1.0,C4,2,84713,07/04/19,13/11/20,3,3,2816440,1,1
204,04/01/19,31.0,1.0,C14,0,68151,12/05/17,29/03/19,1,2,337230,1,1
205,12/01/20,39.0,0.0,C12,0,15826,20/12/20,,1,1,0,1,0
206,12/01/20,26.0,1.0,C10,0,12968,28/09/20,,1,1,0,1,0
207,04/01/19,32.0,0.0,C29,0,61894,05/09/18,16/04/19,3,3,3209720,1,1
208,05/01/19,31.0,0.0,C16,2,31657,01/06/19,24/05/19,1,1,376780,1,1
210,12/01/20,38.0,0.0,C29,2,64583,05/03/20,,3,3,802540,1,0
211,08/01/20,34.0,1.0,C6,2,81730,06/05/20,29/07/20,3,3,0,1,1
213,12/01/20,37.0,0.0,C24,0,59947,09/05/18,,2,2,12182590,1,0
215,05/01/20,26.0,1.0,C15,1,17307,19/07/19,17/05/20,1,1,1742410,1,1
216,07/01/20,30.0,0.0,C20,1,86340,07/04/19,25/07/20,2,2,7020890,1,1
217,06/01/19,32.0,0.0,C10,1,27328,20/05/16,24/06/19,1,2,5854230,1,1
218,12/01/20,25.0,0.0,C21,0,27979,31/07/20,,1,1,734620,2,0
219,11/01/19,36.0,0.0,C5,0,51657,05/11/18,11/11/19,2,2,2805350,1,1
220,10/01/19,38.0,1.0,C18,1,107539,20/11/13,14/10/19,2,3,2784450,1,1
221,01/01/19,31.0,0.0,C3,0,13051,29/12/18,19/01/19,1,1,0,1,1
222,10/01/19,26.0,0.0,C2,0,92753,09/12/19,10/08/19,3,3,0,1,1
223,04/01/19,25.0,0.0,C20,0,59108,24/08/18,13/04/19,2,2,1559910,1,1
225,12/01/20,32.0,1.0,C14,0,44792,13/07/20,,3,3,2242270,3,0
226,05/01/20,36.0,1.0,C18,1,55528,11/09/19,05/02/20,2,2,1172300,1,1
227,12/01/20,45.0,1.0,C29,2,61912,05/01/20,12/12/20,3,3,7237950,1,1
228,05/01/20,45.0,0.0,C6,2,53385,25/07/16,05/01/20,1,1,10390120,1,1
229,04/01/20,43.0,0.0,C28,0,104995,08/03/19,04/10/20,4,4,11947410,2,1
230,01/01/20,34.0,0.0,C25,0,44359,13/10/18,30/12/19,2,2,5824480,1,1
231,01/01/19,32.0,0.0,C5,1,21354,22/10/18,01/05/19,1,1,0,1,1
232,01/01/19,34.0,0.0,C15,2,23185,07/03/18,21/01/19,1,1,0,1,1
233,12/01/20,36.0,1.0,C27,1,139139,28/06/20,,3,3,500000,1,0
234,12/01/20,27.0,1.0,C23,1,52616,01/02/20,,2,2,2800740,2,0
235,02/01/19,39.0,1.0,C16,0,37873,10/08/18,02/11/19,1,1,0,1,1
237,12/01/20,33.0,0.0,C10,0,75626,09/04/20,,3,3,181070,1,0
238,06/01/20,32.0,0.0,C20,0,40168,14/01/20,27/06/20,2,2,495310,1,1
241,01/01/19,24.0,0.0,C1,0,33901,11/12/18,01/06/19,1,1,0,1,1
242,01/01/20,28.0,0.0,C21,0,11236,11/03/19,01/07/20,1,1,0,1,1
243,12/01/20,26.0,0.0,C4,2,60228,14/08/20,,3,3,483150,1,0
244,10/01/19,40.0,0.0,C20,2,37346,05/04/18,10/04/19,1,2,3095340,1,1
245,12/01/20,38.0,0.0,C23,2,77903,09/11/20,15/12/20,2,2,0,1,1
246,09/01/19,42.0,0.0,C10,1,64128,13/12/16,14/09/19,1,2,2278190,1,1
247,10/01/20,39.0,1.0,C4,0,27294,14/06/20,23/10/20,2,2,619900,1,1
252,12/01/20,37.0,0.0,C24,2,81700,16/06/18,,1,3,28348090,4,0
256,01/01/19,21.0,0.0,C10,0,25172,19/10/18,22/01/19,1,1,0,1,1
257,02/01/20,30.0,0.0,C29,1,31655,14/12/19,02/08/20,3,3,150230,1,1
258,12/01/20,29.0,0.0,C13,0,25459,05/03/20,,1,1,2658050,2,0
260,01/01/20,29.0,0.0,C24,1,47864,31/10/19,01/06/20,1,1,0,1,1
261,04/01/20,42.0,1.0,C20,2,90988,27/07/18,04/12/20,3,3,7912770,1,1
262,07/01/19,28.0,1.0,C2,1,24862,16/01/19,16/07/19,2,2,1200020,1,1
263,12/01/20,24.0,0.0,C6,0,19170,10/12/20,,1,1,289500,1,0
264,12/01/20,25.0,0.0,C11,2,49439,18/12/20,18/12/20,1,1,0,1,1
265,12/01/20,34.0,0.0,C3,1,40381,30/05/20,,1,1,1706780,2,0
266,06/01/19,43.0,0.0,C16,1,40102,17/10/17,06/08/19,1,2,2558650,1,1
267,07/01/20,36.0,0.0,C5,0,89200,10/07/19,14/07/20,3,3,3643890,2,1
268,08/01/20,31.0,1.0,C6,1,54352,06/01/19,29/07/20,1,1,4024340,1,1
270,08/01/20,36.0,0.0,C11,1,76336,05/04/20,29/07/20,3,3,260000,1,1
271,12/01/20,38.0,0.0,C29,2,134529,29/05/20,,4,4,19169110,3,0
272,12/01/20,37.0,0.0,C5,1,64901,30/05/19,,2,2,8992830,3,0
273,12/01/20,29.0,0.0,C16,1,40259,30/08/20,,1,1,461970,1,0
274,12/01/20,39.0,0.0,C7,1,53224,20/12/20,,2,2,0,1,0
275,12/01/20,41.0,0.0,C20,0,97226,05/02/16,,1,4,33697790,3,0
276,12/01/20,30.0,1.0,C23,1,107495,30/06/20,,3,3,965680,2,0
278,03/01/19,34.0,0.0,C2,0,52191,21/10/16,17/03/19,1,1,529010,1,1
279,07/01/20,29.0,1.0,C2,0,41800,11/02/19,07/03/20,1,1,2736130,1,1
280,02/01/20,34.0,1.0,C6,2,108013,10/12/13,02/11/20,4,4,6751230,1,1
281,12/01/20,43.0,1.0,C20,1,78607,10/10/20,,3,3,246810,1,0
282,12/01/20,29.0,1.0,C21,0,57339,16/08/20,29/11/20,2,2,0,1,1
283,12/01/20,27.0,1.0,C29,2,57420,11/10/20,,2,2,0,1,0
284,02/01/20,34.0,0.0,C20,2,42189,01/03/20,13/02/20,2,2,0,1,1
286,11/01/20,30.0,1.0,C24,1,70781,13/07/20,11/07/20,2,2,150400,1,1
287,09/01/20,30.0,1.0,C7,0,13605,22/05/20,09/04/20,1,1,0,1,1
288,12/01/20,41.0,1.0,C17,0,62901,18/12/20,,2,2,0,1,0
289,12/01/20,29.0,0.0,C3,0,51110,18/07/20,,2,2,0,1,0
290,11/01/19,25.0,1.0,C5,1,66842,28/07/19,29/10/19,1,1,0,1,1
291,05/01/19,27.0,1.0,C20,2,49695,02/12/18,14/05/19,2,2,1273240,1,1
292,08/01/20,33.0,1.0,C29,2,81858,07/05/20,29/07/20,3,3,0,1,1
293,03/01/19,28.0,1.0,C11,1,45981,12/02/16,23/03/19,1,1,373410,1,1
294,12/01/20,36.0,0.0,C21,0,13793,10/10/20,,1,1,153360,1,0
295,06/01/19,29.0,1.0,C8,0,35983,01/05/19,24/06/19,2,2,225690,1,1
296,12/01/20,32.0,1.0,C20,1,65094,06/10/18,,1,2,29901450,4,0
297,12/01/20,38.0,0.0,C8,2,109473,19/12/20,,3,3,0,1,0
298,04/01/20,39.0,0.0,C20,0,70753,09/12/19,17/04/20,3,3,1501770,1,1
299,11/01/19,36.0,1.0,C28,0,25851,20/08/19,31/10/19,1,1,0,1,1
303,05/01/19,42.0,0.0,C28,1,78645,15/10/15,29/04/19,1,2,0,1,1
305,02/01/19,24.0,0.0,C9,0,20176,26/08/18,02/08/19,1,1,0,1,1
306,12/01/20,31.0,1.0,C4,0,53025,29/11/20,,2,2,0,1,0
307,10/01/20,39.0,0.0,C26,0,88207,10/05/18,26/10/20,2,4,56839380,1,1
308,12/01/20,32.0,0.0,C5,2,188418,15/08/14,,2,5,58024490,2,0
309,12/01/20,30.0,1.0,C5,1,77597,12/11/20,,3,3,0,1,0
310,12/01/20,27.0,1.0,C3,2,58439,12/11/20,,1,1,0,1,0
312,09/01/20,34.0,0.0,C16,0,26047,18/03/20,25/09/20,2,2,0,1,1
313,09/01/20,31.0,1.0,C15,0,96603,18/04/20,20/09/20,3,3,150050,1,1
315,10/01/20,29.0,1.0,C9,2,50281,09/12/20,10/05/20,3,3,0,1,1
316,02/01/19,47.0,0.0,C12,2,42592,19/09/18,15/02/19,1,1,250000,1,1
317,08/01/20,35.0,0.0,C5,1,59936,17/06/19,29/07/20,2,2,5195840,1,1
318,01/01/20,33.0,1.0,C3,1,37890,18/10/19,20/01/20,1,1,0,1,1
319,03/01/20,30.0,0.0,C27,2,51819,01/02/20,03/09/20,3,3,0,1,1
320,12/01/20,28.0,1.0,C20,0,63126,13/07/18,,1,2,30153680,4,0
321,04/01/20,27.0,1.0,C25,1,29869,31/10/19,04/12/20,1,1,242500,1,1
322,11/01/19,41.0,1.0,C6,0,57245,15/06/19,23/11/19,2,2,400000,1,1
323,12/01/20,30.0,1.0,C29,2,64558,01/06/20,,2,2,3159800,2,0
324,12/01/20,31.0,0.0,C26,1,69160,07/03/20,,3,3,4600000,3,0
325,08/01/19,26.0,0.0,C15,2,50739,30/11/18,29/07/19,1,1,109020,1,1
326,07/01/20,24.0,0.0,C28,2,69454,21/04/20,07/11/20,2,2,194000,1,1
327,04/01/19,38.0,0.0,C3,1,26658,29/05/18,21/04/19,1,1,841620,1,1
328,08/01/19,35.0,1.0,C28,1,54816,12/11/18,25/08/19,3,3,200000,1,1
329,12/01/20,44.0,1.0,C11,1,133752,19/07/15,,1,3,14717150,2,0
330,02/01/19,39.0,1.0,C15,1,35694,24/09/18,02/03/19,1,1,0,1,1
331,12/01/20,35.0,0.0,C25,2,71154,27/09/20,,3,3,0,1,0
332,03/01/19,29.0,0.0,C24,2,51152,02/03/19,03/01/19,1,1,134360,1,1
333,05/01/19,44.0,1.0,C6,1,45796,19/09/18,30/04/19,1,1,1296960,1,1
334,05/01/19,29.0,1.0,C9,0,58812,01/07/19,05/11/19,2,2,323290,1,1
335,12/01/20,41.0,1.0,C11,2,94685,17/11/20,,3,3,0,1,0
336,08/01/20,47.0,0.0,C10,2,140769,02/10/18,29/07/20,2,4,9577580,1,1
337,03/01/19,45.0,1.0,C8,2,62135,15/09/18,03/03/19,2,2,0,1,1
339,05/01/20,32.0,0.0,C17,1,55937,13/06/19,05/12/20,3,3,1827320,1,1
340,03/01/19,36.0,0.0,C16,0,33327,08/08/18,23/03/19,1,1,544560,1,1
341,12/01/20,40.0,0.0,C11,1,49592,24/12/19,,2,2,3946480,2,0
342,01/01/20,45.0,0.0,C18,2,83084,07/09/18,20/01/20,3,3,11082000,1,1
343,05/01/20,24.0,0.0,C4,1,26563,16/01/20,05/05/20,1,1,150440,1,1
344,03/01/20,28.0,0.0,C2,1,55938,02/02/20,15/03/20,3,3,0,1,1
345,12/01/20,35.0,1.0,C27,1,35284,31/07/20,,2,2,834890,2,0
346,04/01/20,31.0,1.0,C2,1,92158,12/02/19,30/03/20,3,3,1072230,1,1
347,02/01/19,36.0,1.0,C15,0,57044,01/05/18,18/02/19,2,3,0,1,1
348,12/01/20,28.0,1.0,C13,1,71326,09/01/20,,2,2,0,1,0
349,10/01/19,33.0,0.0,C26,2,56317,27/05/19,17/10/19,2,2,116400,1,1
350,02/01/19,33.0,0.0,C10,2,55441,12/03/18,02/08/19,2,2,0,1,1
351,12/01/20,31.0,0.0,C9,1,50609,12/10/19,,2,2,8254930,4,0
352,07/01/19,44.0,0.0,C24,0,39564,24/02/19,27/07/19,1,1,632080,1,1
353,11/01/20,31.0,1.0,C18,2,33134,15/07/18,13/11/20,1,1,13594350,1,1
354,03/01/19,31.0,1.0,C11,0,60555,30/11/18,27/02/19,1,1,0,1,1
355,08/01/19,34.0,0.0,C22,2,135879,16/06/18,08/09/19,3,3,3163760,1,1
357,12/01/20,35.0,0.0,C2,0,127616,03/08/20,,4,4,13191530,2,0
